"Domain","Block","LRT_Chi2","Wald_Chi2","df","p_val","AIC","BIC"
"Arts & Cultural Events","Block 1: Demographic Identity (Gender, Race, Religion)",12.0058434646092,15.6301780932595,6,0.0618385707984802,418.83032182134,445.176760419135
"Arts & Cultural Events","Block 2: Family Socioeconomic Status (Income, Education)",7.10608126039386,7920869.47651864,4,0.130387388248274,419.730084025555,439.489912973902
"Arts & Cultural Events","Block 3: Pre-Collegiate Scholastic Capital (GPA, Degree Aspirations)",7.89109799519582,23.5626349253364,4,0.0956498627574709,418.945067290753,438.7048962391
"Arts & Cultural Events","Block 4: Collegiate Context (STEM Major, Hometown Urbanicity)",4.88446361046806,1328.71846825771,4,0.299358997993398,421.951701675481,441.711530623828
"Arts & Cultural Events","Block 1+2: Combined Sociodemographics (Demographics + SES)",18.0715106761076,113964.997682577,10,0.053769272502224,420.764654609841,460.284312506535
"Arts & Cultural Events","Full Multivariable Model (All Blocks Combined)",32.5536925088298,935379.537715194,18,0.0188892007974902,422.282472777119,488.148569271609
"Book Reading Types","Block 1: Demographic Identity (Gender, Race, Religion)",94.6420263957984,221.689942704025,6,0,360.283646688388,386.71008595286
"Book Reading Types","Block 2: Family Socioeconomic Status (Income, Education)",0.888179514568435,939370.010907353,4,0.926250502407922,450.037493569617,469.857323017972
"Book Reading Types","Block 3: Pre-Collegiate Scholastic Capital (GPA, Degree Aspirations)",5.78944321817528,399.777571563643,4,0.215434274594567,445.136229866011,464.956059314365
"Book Reading Types","Block 4: Collegiate Context (STEM Major, Hometown Urbanicity)",11.426832207799,775.60198976993,4,0.0221635068986811,439.498840876387,459.318670324741
"Book Reading Types","Block 1+2: Combined Sociodemographics (Demographics + SES)",99.6891352688503,130392.433161868,10,1.11022302462516e-16,363.236537815336,402.876196712045
"Book Reading Types","Full Multivariable Model (All Blocks Combined)",110.362444001242,1638373.47961594,18,2.66453525910038e-15,368.563229082944,434.629327244125
"Music Genre Preferences","Block 1: Demographic Identity (Gender, Race, Religion)",30.6197892532914,329.869566816311,6,2.9957054338281e-05,415.75868439573,442.185123660202
"Music Genre Preferences","Block 2: Family Socioeconomic Status (Income, Education)",3.69856728815648,5711369.29164833,4,0.448334338169242,438.679906360864,458.499735809219
"Music Genre Preferences","Block 3: Pre-Collegiate Scholastic Capital (GPA, Degree Aspirations)",19.7211035635813,95.0386008908722,4,0.000566850668634822,422.65737008544,442.477199533794
"Music Genre Preferences","Block 4: Collegiate Context (STEM Major, Hometown Urbanicity)",13.9151638989551,384.560061285044,4,0.0075707982272063,428.463309750066,448.28313919842
"Music Genre Preferences","Block 1+2: Combined Sociodemographics (Demographics + SES)",33.5298322234055,641353.348782904,10,0.000221797304538973,420.848641425615,460.488300322324
"Music Genre Preferences","Full Multivariable Model (All Blocks Combined)",60.3227786997911,1178901.68026334,18,1.81432187318364e-06,410.05569494923,476.121793110411
